id,name,classification,recommendedGrade,prerequisite,credit,group,remark
CYB_1,아주인성,교필,01월 01일,,1,,
CYB_2,영어1,교필,01월 02일,,3,,
CYB_3,영어2,교필,01월 01일,,3,,
CYB_4,글쓰기,교필,01월 01일,,3,,
CYB_5,영역별교양1,교필,01월 02일,,3,,
CYB_6,영역별교양2,교필,02월 01일,,3,,
CYB_7,영역별교양3(지정이수:미래산업혁명과 기술창업론),교필,02월 02일,,3,,
CYB_8,수학1,교필,01월 02일,,3,,
CYB_9,수학2,교필,02월 01일,,3,,
CYB_10,확률및통계1,교필,02월 02일,,3,,
CYB_11,선형대수1,교필,02월 01일,,3,,
CYB_12,물리학,교필,01월 02일,,3,A,
CYB_13,화학,교필,01월 02일,,3,A,
CYB_14,생명과학,교필,01월 02일,,3,A,
CYB_15,물리학실험,교필,01월 02일,,1,A,
CYB_16,화학실험,교필,01월 02일,,1,A,
CYB_17,생명과학실험,교필,01월 02일,,1,A,
CYB_18,보안진로탐색1,교필,01월 01일,,3,,
CYB_19,보안진로탐색2,교필,02월 02일,,3,,
CYB_20,사이버보안윤리,전필,01월 01일,,3,,
CYB_21,이산수학,전필,01월 01일,,3,,
CYB_22,컴퓨터프로그래밍및실습(소프트웨어),전필,01월 01일,,4,,
CYB_23,자료구조및실습(소프트웨어),전필,01월 02일,컴퓨터프로그래밍및실습(소프트웨어),4,,
CYB_24,컴퓨터구조,전필,02월 01일,,3,,
CYB_25,객체지향프로그래밍및실습(소프트웨어),전필,02월 01일,컴퓨터프로그래밍및실습(소프트웨어),4,,
CYB_26,현대암호이론및응용,전필,02월 02일,,3,,
CYB_27,운영체제(소프트웨어),전필,02월 02일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_28,컴퓨터네트워크(소프트웨어),전필,02월 02일,,3,,
CYB_29,네트워크보안및실습,전필,03월 01일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_30,소프트웨어응용보안및실습,전필,03월 02일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_31,정보보호,전선,02월 01일,,3,,신설
CYB_32,정보보호법제도와정책,전선,02월 02일,,3,,
CYB_33,알고리즘(소프트웨어),전선,02월 02일,자료구조및실습,3,,
CYB_34,시스템소프트웨어보안및실습,전선,03월 01일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_35,데이터베이스(소프트웨어),전선,03월 01일,자료구조및실습,3,,
CYB_36,오픈소스SW입문,전선,03월 01일,객체지향프로그래밍및실습(소프트웨어),3,,
CYB_37,iot플랫폼보안,전선,03월 01일,,3,,
CYB_38,컴파일러(소프트웨어),전선,03월 01일,자료구조및실습,3,,
CYB_39,도메인분석및SW설계,전선,03월 01일,객체지향프로그래밍및실습(소프트웨어),3,,신설
CYB_40,기계학습및데이터마이닝(소프트웨어),전선,03월 01일,자료구조및실습,3,,
CYB_41,모바일응용보안및실습,전선,03월 02일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_42,임베디드소프트웨어(소프트웨어),전선,03월 02일,,4,,
CYB_43,소프트웨어공학(소프트웨어),전선,03월 02일,객체지향프로그래밍및실습(소프트웨어),3,,
CYB_44,웹시스템설계(소프트웨어),전선,03월 02일,객체지향프로그래밍및실습(소프트웨어),4,,
CYB_45,사물인터넷시스템설계(소프트웨어),전선,03월 02일,운영체제,4,,
CYB_46,클라우드서비스보안,전선,03월 02일,,3,,
CYB_47,IT전문영어(소프트웨어),전선,03월 02일,,3,,
CYB_48,IT집중교육1(소프트웨어),전선,03월 02일,,6,,
CYB_49,IT집중교육2(소프트웨어),전선,03월 02일,,6,,
CYB_50,사이버보안캡스톤디자인,전선,04월 01일,,6,,
CYB_51,분산시스템,전선,04월 01일,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_52,SW창업론(소프트웨어),전선,04월 01일,,3,,
CYB_53,정보보호제품평가,전선,04월 01일,,3,,
CYB_54,사이버보안관제및실습,전선,04월 01일,,3,,
CYB_55,빅데이터응용보안,전선,04월 01일,,3,,
CYB_56,모바일네트워크,전선,04월 01일,컴퓨터네트워크,3,,신설
CYB_57,해외봉사실천1,전선,04월 01일,,3,,
CYB_58,해외봉사실천2,전선,04월 01일,,3,,
CYB_59,사이버보안사례특강,전선,04월 02일,,3,,
CYB_60,사이버플랫폼보안,전선,04월 02일,,3,,
CYB_61,인공지능,전선,04월 02일,자료구조및실습,3,,신설
CYB_62,인간과컴퓨터상호작용,전선,04월 02일,객체지향프로그래밍및실습(소프트웨어),3,,신설
CYB_63,보안현장실습1,전선,03월 01일,,3,,
CYB_64,보안현장실습2,전선,03월 02일,,3,,
CYB_65,보안현장실습3,전선,04월 01일,,3,,
CYB_66,보안현장실습4,전선,04월 02일,,3,,
CYB_67,보안현장실습5,전선,04월 01일,,3,,
CYB_68,보안현장실습6,전선,04월 02일,,3,,
CYB_69,해외인턴십1,전선,04월 01일,,3,,
CYB_70,해외인턴십2,전선,04월 02일,,3,,
CYB_71,창업실습1,전선,04월 01일,,3,,
CYB_72,창업실습2,전선,04월 02일,,3,,
CYB_73,창업현장실습1,전선,04월 01일,,3,,
CYB_74,창업현장실습2,전선,04월 02일,,3,,
