id,name,classification,recommendedGrade,prerequisite,credit,group,remark
MDC_1,아주희망,교양필수,01월 01일,,1,,
MDC_2,아주인성,교양필수,01월 01일,,1,,
MDC_3,글쓰기,교양필수,01월 01일,,3,,
MDC_4,영어1,교양필수,01월 01일,,3,,
MDC_5,영어2,교양필수,01월 02일,,3,,
MDC_6,영역별교양,교양필수,02월 02일,,3,,
MDC_7,영역별교양,교양필수,03월 02일,,3,,
MDC_8,영역별교양,교양필수,04월 01일,,3,,
MDC_9,수학1,학과필수,01월 02일,,3,A,
MDC_10,수학2,학과필수,02월 01일,,3,A,
MDC_11,공업수학A,학과필수,02월 01일,,3,A,
MDC_12,확률 및 통계1,학과필수,02월 02일,,3,A,
MDC_13,선형대수1,학과필수,02월 02일,,3,A,
MDC_14,생명과학,학과필수,01월 01일,,3,B,
MDC_15,물리학,학과필수,01월 02일,,3,B,
MDC_16,물리학 실험,학과필수,01월 02일,,1,B,
MDC_17,리더십,전공필수,01월 01일,,3,,
MDC_18,이산수학,전공필수,01월 01일,,3,,
MDC_19,창의소프트웨어입문,전공필수,01월 01일,,3,,
MDC_20,항공이론,전공필수,01월 02일,,3,,
MDC_21,컴퓨터프로그래밍,전공필수,01월 02일,,3,,
MDC_22,컴퓨터프로그램설계,전공필수,01월 02일,,3,,
MDC_23,항공력의 역할,전공필수,02월 01일,,3,,
MDC_24,군사탐방1,전공필수,01월 02일,,0,,
MDC_25,컴퓨터네트워크,전공필수,02월 01일,,3,,
MDC_26,자료구조 및 실습,전공필수,02월 01일,컴퓨터프로그래밍,4,,
MDC_27,객체지향프로그래밍,전공필수,02월 01일,컴퓨터프로그래밍,4,,
MDC_28,항공전사,전공필수,02월 02일,,3,,
MDC_29,군사탐방2,전공필수,02월 01일,,0,,
MDC_30,신호 및 시스템,전공필수,02월 02일,,3,,
MDC_31,운영체계,전공필수,02월 02일,,3,,
MDC_32,국방ICT시스템,전공필수,03월 01일,,3,,
MDC_33,확률과정론,전공필수,03월 01일,확률 및 통계1,3,,
MDC_34,군사탐방3,전공필수,02월 02일,,0,,
MDC_35,국방통신네트워크,전공필수,03월 01일,,3,,
MDC_36,레이더시스템,전공필수,03월 02일,,3,,
MDC_37,알고리즘,전공필수,03월 02일,자료구조 및 실습,3,,
MDC_38,전술데이터링크,전공필수,04월 02일,,3,,
MDC_39,군사탐방4,전공필수,03월 01일,,0,,
MDC_40,군사탐방5,전공필수,03월 02일,,0,,
MDC_41,군사탐방6,전공필수,04월 01일,,0,,
MDC_42,군사탐방7,전공필수,04월 02일,,0,,
MDC_43,C4I시스템,전공필수,04월 01일,,3,,
MDC_44,현대암호이론 및 응용,전공선택,02월 02일,,3,,
MDC_45,정보보호,전공선택,03월 01일,이산수학,3,,
MDC_46,데이터마이닝,전공선택,04월 02일,자료구조 및 실습,3,,
MDC_47,디지털회로,전공선택,03월 01일,,4,,
MDC_48,시스템프로그래밍,전공선택,03월 01일,컴퓨터프로그래밍,4,,
MDC_49,통신시스템,전공선택,03월 01일,신호 및 시스템,3,,
MDC_50,컴퓨터구조,전공선택,03월 02일,,3,,
MDC_51,임베디드소프트웨어,전공선택,04월 01일,컴퓨터프로그래밍,4,,
MDC_52,무선 네트워크,전공선택,03월 02일,컴퓨터 네트워크,4,,
MDC_53,국방ICT 프로젝트1,전공선택,04월 01일,,3,,
MDC_54,NCW이론 및 응용,전공선택,04월 01일,,3,,
MDC_55,국방정보보호체계,전공선택,03월 02일,,3,,
MDC_56,데이터베이스,전공선택,04월 01일,자료구조 및 실습,3,,
MDC_57,국방ICT 프로젝트2,전공선택,04월 01일,,3,,
MDC_58,위성통신망,전공선택,04월 02일,,3,,
MDC_59,항공소프트웨어,전공선택,04월 02일,,3,,
MDC_60,비행역학 및 제어,전공선택,03월 01일,,3,,
MDC_61,사이버전,전공선택,04월 01일,,3,,
MDC_62,소프트웨어공학,전공선택,04월 01일,객체지향 프로그래밍,3,,
MDC_63,인공지능,전공선택,04월 01일,자료구조 및 실습,3,,
MDC_64,컴퓨터비전,전공선택,04월 02일,자료구조 및 실습,3,,
