id,name,classification,recommendedGrade,prerequisite,credit,group,remark
ELE_1,아주희망,교양필수,01월 01일,,1,,
ELE_2,아주인성,교양필수,02월 01일,,1,,
ELE_3,영어1,교양필수,01월 02일,,3,,
ELE_4,영어2,교양필수,01월 01일,,3,,
ELE_5,글쓰기,교양필수,01월 02일,,3,,
ELE_6,영역별교양,교양필수,03월 01일,,3,,
ELE_7,영역별교양,교양필수,03월 02일,,3,,
ELE_8,영역별교양,교양필수,04월 02일,,3,,
ELE_9,수학1,교양필수,01월 01일,,3,,
ELE_10,수학2,교양필수,01월 02일,,3,,
ELE_11,공업수학A,교양필수,01월 02일,,3,,
ELE_12,공업수학G,교양필수,02월 01일,"수학1,수학2,공업수학A",3,,
ELE_13,물리학1,교양필수,01월 01일,,3,,
ELE_14,물리학실험1,교양필수,01월 01일,,1,,
ELE_15,물리학2,교양필수,01월 02일,,3,,
ELE_16,물리학실험2,교양필수,01월 02일,,1,,
ELE_17,화학,교양필수,01월 01일,,3,,
ELE_18,화학실험,교양필수,01월 01일,,1,,
ELE_19,현대물리학(물리학전공),교양필수,02월 02일,,3,A,
ELE_20,역학1(물리학전공),교양필수,02월 02일,,3,A,
ELE_21,수치해석(수학전공),교양필수,02월 02일,,3,A,
ELE_22,생명과학,교양필수,02월 02일,,3,A1,
ELE_23,생명과학실험,교양필수,02월 02일,,1,A1,
ELE_24,융합프로그래밍,교양필수,01월 01일,,4,,
ELE_25,어드밴처디자인,전공필수,01월 02일,,3,,
ELE_26,4차산업혁명 Connecting Minds,전공필수,02월 02일,,1,,
ELE_27,회로이론,전공필수,02월 01일,"수학1,공업수학A",3,,
ELE_28,전자회로1,전공필수,02월 02일,회로이론,3,,
ELE_29,전자회로2,전공필수,03월 01일,전자회로1,3,,
ELE_30,전자기학,전공필수,02월 01일,"물리학1,수학2",3,,
ELE_31,전자장론,전공필수,02월 02일,전자기학,3,,
ELE_32,논리회로,전공필수,02월 01일,,3,,
ELE_33,신호및시스템,전공필수,02월 02일,회로이론,3,,
ELE_34,반도체공학1,전공필수,03월 01일,회로이론,3,,
ELE_35,자료구조및알고리즘이해,전공필수,02월 02일,융합프로그래밍(프로그래밍기초및실습),3,,
ELE_36,기초전기실험,전공필수,02월 01일,,2,,
ELE_37,논리회로실험,전공필수,02월 02일,기초전기실험,2,,
ELE_38,전자회로실험,전공필수,03월 01일,"전자회로1,기초전기실험",2,,
ELE_39,확률및랜덤변수,전공선택,03월 01일,,3,C,
ELE_40,통신시스템,전공선택,03월 01일,신호및시스템,3,C,
ELE_41,자동제어,전공선택,03월 01일,회로이론,3,C,
