id,name,classification,recommendedGrade,prerequisite,credit,group,remark
MED_001,컴퓨터프로그래밍및실습,전필,1-1,,4,,
MED_002,그래픽디자인,전필,1-2,,3,,
MED_003,미디어프로젝트(종합설계),전필,4-1,,3,,
MED_004,창의미디어,전선,1-1,,3,,
MED_005,객체지향프로그래밍및실습,전선,1-2,컴퓨터프로그래밍및실습,4,,
MED_006,발상과시각화,전선,1-2,,3,,
MED_007,3D그래픽디자인,전선,2-1,그래픽디자인,3,,
MED_008,게임의이해,전선,2-1,,3,,
MED_009,디지털사운드기초,전선,2-1,,3,,
MED_010,모바일프로그래밍,전선,2-1,객체지향프로그래밍및실습,4,,
MED_011,미디어심리학,전선,2-1,,3,,
MED_012,미디어통계,전선,2-1,확률및통계1,3,,
MED_013,스토리텔링,전선,2-1,,3,,
MED_014,자료구조,전선,2-1,컴퓨터프로그래밍및실습,3,,
MED_015,3D어셋크리에이션,전선,2-2,3D그래픽디자인,3,,
MED_016,게임애니메이션,전선,2-2,,4,,
MED_017,뉴미디어와 디지털방송,전선,2-2,,3,,
MED_018,디지털타이포그래피,전선,2-2,그래픽디자인,3,,
MED_019,미디어애널리틱스,전선,2-2,확률및통계1,3,,
MED_020,미디어융합기획,전선,2-2,,3,,
MED_021,미디어와창업,전선,2-2,,3,,
MED_022,비주얼커뮤니케이션디자인,전선,2-2,,3,,
MED_023,영상제작미학,전선,2-2,,3,,
MED_024,컴퓨터그래픽스,전선,2-2,컴퓨터프로그래밍및실습,3,,
MED_025,GPU프로그래밍,전선,3-1,컴퓨터그래픽스,3,,
MED_026,게임엔진프로그래밍,전선,3-1,,3,,
MED_027,미디어산업혁명기획,전선,3-1,,3,,
MED_028,미디어융합연구,전선,3-1,,3,,
MED_029,미디어조사방법론,전선,3-1,,3,,
MED_030,영상연출,전선,3-1,,3,,
MED_031,영상처리,전선,3-1,자료구조,3,,
MED_032,영상합성,전선,3-1,그래픽디자인,3,,
MED_033,운영체제,전선,3-1,컴퓨터프로그래밍및실습,3,,
MED_034,인포그래픽스,전선,3-1,,3,,
MED_035,VR스튜디오,전선,3-2,"3D어셋크리에이션,게임엔진프로그래밍",3,,
MED_036,게임FX,전선,3-2,,3,,
MED_037,공간음향제작,전선,3-2,디지털사운드기초,3,,
MED_038,데이터베이스,전선,3-2,자료구조,3,,
MED_039,데이터사이언스개론,전선,3-2,,3,,
MED_040,미디어집중교육1,전선,3-2,,3,,
MED_041,알고리즘,전선,3-2,자료구조,3,,
MED_042,영상편집론,전선,3-2,,3,,
MED_043,인디게임제작,전선,3-2,,3,,
MED_044,인터랙션디자인,전선,3-2,그래픽디자인,3,,
MED_045,인터페이스디자인,전선,3-2,,3,,
MED_046,정보디자인,전선,3-2,,3,,
MED_047,컴퓨터비젼,전선,3-2,자료구조,3,,
MED_048,애니메이션이론,전선,4-1,컴퓨터그래픽스,3,,
MED_049,UX디자인,전선,4-1,,3,,
MED_050,데이터시각화,전선,4-1,,3,,
MED_051,미디어집중교육2,전선,4-1,,3,,
MED_052,모션그래픽디자인,전선,4-1,그래픽디자인,3,,
MED_053,시리어스게임분석,전선,4-1,,3,,
MED_054,영상사운드제작,전선,4-1,디지털사운드기초,3,,
MED_055,해외봉사실천1,전선,4-1,,3,,
MED_056,해외봉사실천2,전선,4-1,,3,,
MED_057,창업실습1,전선,4-1,,3,,
MED_058,창업실습2,전선,4-1,,3,,
MED_059,기계학습및데이터마이닝,전선,4-2,자료구조,3,,
MED_060,렌더링이론,전선,4-2,컴퓨터그래픽스,3,,
MED_061,미디어경영,전선,4-2,,3,,
MED_062,미디어현장실습 1,전선,4-2,,3,,
MED_063,미디어현장실습 2,전선,4-2,,3,,
MED_064,미디어현장실습 3,전선,4-2,,3,,
MED_065,미디어현장실습 4,전선,4-2,,3,,
MED_066,인터내셔널세미나,전선,4-2,,3,,
MED_067,창업현장실습 1,전선,4-2,,3,,
MED_068,창업현장실습 2,전선,4-2,,3,,
MED_069,해외인턴쉽1,전선,4-2,,3,,
MED_070,해외인턴쉽2,전선,4-2,,3,,
MED_071,미디어현장실습 5,일선,4-2,,3,,
MED_072,미디어현장실습 6,일선,4-2,,3,,
MED_073,아주희망,교필,1-1,,1,,
MED_074,영어2,교필,1-1,,3,,
MED_075,글쓰기,교필,1-2,,3,,
MED_076,아주인성,교필,1-2,,1,,
MED_077,영어1,교필,1-2,,3,,
MED_078,영역별교양1,교필,,,3,,
MED_079,영역별교양2,교필,,,3,,
MED_080,영역별교양3,교필,,,3,,
MED_081,수학1,교필,1-1,,3,,
MED_082,확률및통계1,교필,1-2,,3,,
MED_083,물리학,교필,2-2,,3,1,
MED_084,생명과학,교필,2-2,,3,1,
MED_085,선형대수1,교필,2-2,,3,1,
MED_086,수학2,교필,2-2,,3,1,
MED_087,이산수학,교필,2-2,,3,1,
MED_088,자기주도 진로탐색,교필,2-2,,0,,
