id,name,classification,recommendedGrade,prerequisite,credit,group,remark
SOF_1,영어1,교필,01월 02일,,3,,
SOF_2,영어2,교필,01월 01일,,3,,
SOF_3,글쓰기,교필,01월 01일,,3,,
SOF_4,아주인성,교필,01월 01일,,1,,
SOF_5,영역별교양1,교필,01월 01일,,3,,
SOF_6,영역별교양2,교필,02월 01일,,3,,
SOF_7,영역별교양3,교필,02월 02일,,3,,
SOF_8,SW커리어세미나,교필,01월 01일,,1,,
SOF_9,수학1,교필,01월 01일,,3,,
SOF_10,확률및통계1,교필,02월 01일,,3,,
SOF_11,확률및통계2,교필,02월 02일,,3,1,
SOF_12,선형대수1,교필,02월 02일,,3,1,
SOF_13,물리학실험,교필,01월 02일,,1,2,
SOF_14,생명과학실험,교필,01월 02일,,1,2,
SOF_15,물리학,교필,"1-2,2-2",,3,2,
SOF_16,생명과학,교필,"1-2,2-2",,3,2,
SOF_17,화학,교필,"1-2,2-2",,3,2,
SOF_18,컴퓨터프로그래밍및실습,전필,01월 01일,,4,,
SOF_19,이산수학,전필,01월 02일,,3,,
SOF_20,창의소프트웨어입문,전필,01월 02일,,3,,
SOF_21,디지털회로및실습,전필,01월 02일,,4,,
SOF_22,객체지향프로그래밍및실습,전필,02월 01일,컴퓨터프로그래밍및실습,4,,
SOF_23,자료구조및실습,전필,02월 01일,컴퓨터프로그래밍및실습,4,,
SOF_24,컴퓨터구조,전필,02월 01일,,3,,
SOF_25,알고리즘,전필,02월 02일,자료구조및실습,3,,
SOF_26,시스템프로그래밍실습,전필,02월 02일,컴퓨터프로그래밍및실습,4,,
SOF_27,컴퓨터네트워크,전필,02월 02일,,3,,
SOF_28,운영체제,전필,03월 01일,컴퓨터프로그래밍및실습,3,,
SOF_29,네트워크소프트웨어설계,전선,03월 01일,컴퓨터네트워크,4,,
SOF_30,네트워크보안및실습,전선,03월 01일,,3,,
SOF_31,컴퓨터통신,전선,03월 01일,,3,,
SOF_32,도메인분석및SW설계,전선,03월 01일,객체지향프로그래밍및실습,3,,
SOF_33,데이터베이스,전선,03월 01일,자료구조및실습,3,,
SOF_34,컴파일러,전선,03월 01일,자료구조및실습,3,,
SOF_35,정보보호,전선,03월 01일,,3,,
SOF_36,시스템소프트웨어보안및실습,전선,03월 01일,,3,,
SOF_37,오픈소스SW입문,전선,03월 01일,객체지향프로그래밍및실습,3,,
SOF_38,기계학습및데이터마이닝,전선,03월 01일,자료구조및실습,3,,
SOF_39,IT전문영어,전선,03월 02일,"영어1,영어2",3,,
SOF_40,IT집중교육1,전선,03월 02일,객체지향프로그래밍및실습,6,,
SOF_41,IT집중교육2,전선,03월 02일,객체지향프로그래밍및실습,6,,
SOF_42,자기주도프로젝트,전선,03월 02일,객체지향프로그래밍및실습,3,,
SOF_43,계산이론,전선,03월 02일,이산수학,3,,
SOF_44,사물인터넷시스템설계,전선,03월 02일,운영체제,4,,
SOF_45,소프트웨어공학,전선,03월 02일,객체지향프로그래밍및실습,3,,
SOF_46,소프트웨어응용보안및실습,전선,03월 02일,,3,,
SOF_47,웹시스템설계,전선,03월 02일,객체지향프로그래밍및실습,4,,
SOF_48,임베디드소프트웨어,전선,03월 02일,컴퓨터프로그래밍및실습,4,,
SOF_49,현대암호이론및응용,전선,03월 02일,,3,,
SOF_50,실전코딩1,전선,03월 02일,,3,,
SOF_51,실정코딩2,전선,03월 02일,,3,,
SOF_52,모델링시뮬레이션,전선,04월 01일,,3,,
SOF_53,컴퓨터비젼,전선,04월 01일,자료구조및실습,3,,
SOF_54,SW창업론,전선,04월 01일,,3,,
SOF_55,모바일네트워크,전선,04월 01일,컴퓨터네트워크,3,,
SOF_56,컴퓨터그래픽스,전선,04월 01일,자료구조및실습,3,,
SOF_57,자기주도연구1,전선,04월 01일,,3,,
SOF_58,분산시스템,전선,04월 01일,컴퓨터프로그래밍및실습,3,,
SOF_59,SW캡스톤디자인,전선,04월 02일,,6,,
SOF_60,SW산업세미나,전선,04월 02일,,1,,
SOF_61,고급컴퓨터구조,전선,04월 02일,,3,,
SOF_62,인간과컴퓨터상호작용,전선,04월 02일,,3,,
SOF_63,인공지능,전선,04월 02일,자료구조및실습,3,,
SOF_64,자기주도연구2,전선,04월 02일,,3,,
SOF_65,SW현장실습1,전선,04월 01일,,3,,
SOF_66,SW현장실습2,전선,04월 01일,,3,,
SOF_67,SW현장실습3,전선,04월 01일,,3,,
SOF_68,SW현장실습4,전선,04월 02일,,3,,
SOF_69,SW현장실습5,전선,04월 02일,,3,,
SOF_70,SW현장실습6,전선,04월 02일,,3,,
SOF_71,창업실습1,전선,04월 01일,,3,,
SOF_72,창업실습2,전선,04월 02일,,3,,
SOF_73,창업현장실습1,전선,04월 01일,,3,,
SOF_74,창업현장실습2,전선,04월 02일,,3,,
SOF_75,해외인턴십1,전선,04월 01일,,3,,
SOF_76,해외인턴십2,전선,04월 01일,,3,,
SOF_77,해외인턴십3,전선,04월 02일,,3,,
SOF_78,해외인턴십4,전선,04월 02일,,3,,
