id,name,classification,recommendedGrade,prerequisite,credit,group,remark
CYB_001,아주인성,교필,1/1,,1,,
CYB_002,영어1,교필,1/2,,3,,
CYB_003,영어2,교필,1/1,,3,,
CYB_004,글쓰기,교필,1/1,,3,,
CYB_005,영역별교양1,교필,1/2,,3,,
CYB_006,영역별교양2,교필,2/1,,3,,
CYB_007,영역별교양3(지정이수:미래산업혁명과 기술창업론),교필,2/2,,3,,
CYB_008,수학1,교필,1/2,,3,,
CYB_009,수학2,교필,2/1,,3,,
CYB_010,확률및통계1,교필,2/2,,3,,
CYB_011,선형대수1,교필,2/1,,3,,
CYB_012,물리학,교필,1/2,,3,A,
CYB_013,화학,교필,1/2,,3,A,
CYB_014,생명과학,교필,1/2,,3,A,
CYB_015,물리학실험,교필,1/2,,1,A,
CYB_016,화학실험,교필,1/2,,1,A,
CYB_017,생명과학실험,교필,1/2,,1,A,
CYB_018,보안진로탐색1,교필,1/1,,3,,
CYB_019,보안진로탐색2,교필,2/2,,3,,
CYB_020,사이버보안윤리,전필,1/1,,3,,
CYB_021,이산수학,전필,1/1,,3,,
CYB_022,컴퓨터프로그래밍및실습(소프트웨어),전필,1/1,,4,,
CYB_023,자료구조및실습(소프트웨어),전필,1/2,컴퓨터프로그래밍및실습(소프트웨어),4,,
CYB_024,컴퓨터구조,전필,2/1,,3,,
CYB_025,객체지향프로그래밍및실습(소프트웨어),전필,2/1,컴퓨터프로그래밍및실습(소프트웨어),4,,
CYB_026,현대암호이론및응용,전필,2/2,,3,,
CYB_027,운영체제(소프트웨어),전필,2/2,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_028,컴퓨터네트워크(소프트웨어),전필,2/2,,3,,
CYB_029,네트워크보안및실습,전필,3/1,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_030,소프트웨어응용보안및실습,전필,3/2,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_031,정보보호,전선,2/1,,3,,신설
CYB_032,정보보호법제도와정책,전선,2/2,,3,,
CYB_033,알고리즘(소프트웨어),전선,2/2,자료구조및실습(소프트웨어),3,,
CYB_034,시스템소프트웨어보안및실습,전선,3/1,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_035,데이터베이스(소프트웨어),전선,3/1,자료구조및실습(소프트웨어),3,,
CYB_036,오픈소스SW입문,전선,3/1,객체지향프로그래밍및실습(소프트웨어),3,,
CYB_037,iot플랫폼보안,전선,3/1,,3,,
CYB_038,컴파일러(소프트웨어),전선,3/1,자료구조및실습(소프트웨어),3,,
CYB_039,도메인분석및SW설계,전선,3/1,객체지향프로그래밍및실습(소프트웨어),3,,신설
CYB_040,기계학습및데이터마이닝(소프트웨어),전선,3/1,자료구조및실습(소프트웨어),3,,
CYB_041,모바일응용보안및실습,전선,3/2,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_042,임베디드소프트웨어(소프트웨어),전선,3/2,,4,,
CYB_043,소프트웨어공학(소프트웨어),전선,3/2,객체지향프로그래밍및실습(소프트웨어),3,,
CYB_044,웹시스템설계(소프트웨어),전선,3/2,객체지향프로그래밍및실습(소프트웨어),4,,
CYB_045,사물인터넷시스템설계(소프트웨어),전선,3/2,운영체제(소프트웨어),4,,
CYB_046,클라우드서비스보안,전선,3/2,,3,,
CYB_047,IT전문영어(소프트웨어),전선,3/2,,3,,
CYB_048,IT집중교육1(소프트웨어),전선,3/2,,6,,
CYB_049,IT집중교육2(소프트웨어),전선,3/2,,6,,
CYB_050,사이버보안캡스톤디자인,전선,4/1,,6,,
CYB_051,분산시스템,전선,4/1,컴퓨터프로그래밍및실습(소프트웨어),3,,
CYB_052,SW창업론(소프트웨어),전선,4/1,,3,,
CYB_053,정보보호제품평가,전선,4/1,,3,,
CYB_054,사이버보안관제및실습,전선,4/1,,3,,
CYB_055,빅데이터응용보안,전선,4/1,,3,,
CYB_056,모바일네트워크,전선,4/1,컴퓨터네트워크(소프트웨어),3,,신설
CYB_057,해외봉사실천1,전선,4/1,,3,,
CYB_058,해외봉사실천2,전선,4/1,,3,,
CYB_059,사이버보안사례특강,전선,4/2,,3,,
CYB_060,사이버플랫폼보안,전선,4/2,,3,,
CYB_061,인공지능,전선,4/2,자료구조및실습(소프트웨어),3,,신설
CYB_062,인간과컴퓨터상호작용,전선,4/2,객체지향프로그래밍및실습(소프트웨어),3,,신설
CYB_063,보안현장실습1,전선,3/1,,3,,
CYB_064,보안현장실습2,전선,3/2,,3,,
CYB_065,보안현장실습3,전선,4/1,,3,,
CYB_066,보안현장실습4,전선,4/2,,3,,
CYB_067,보안현장실습5,전선,4/1,,3,,
CYB_068,보안현장실습6,전선,4/2,,3,,
CYB_069,해외인턴십1,전선,4/1,,3,,
CYB_070,해외인턴십2,전선,4/2,,3,,
CYB_071,창업실습1,전선,4/1,,3,,
CYB_072,창업실습2,전선,4/2,,3,,
CYB_073,창업현장실습1,전선,4/1,,3,,
CYB_074,창업현장실습2,전선,4/2,,3,,
